2024-05-03 22:08:21,067 - WARNING  19057 --- [competitions_main.py:180] | No table on page Baden-Württemberg - 2025
2024-05-03 22:08:22,076 - WARNING  19057 --- [competitions_main.py:180] | No table on page Bayern - 2025
2024-05-03 22:08:23,087 - WARNING  19057 --- [competitions_main.py:180] | No table on page Berlin - 2025
2024-05-03 22:08:24,097 - WARNING  19057 --- [competitions_main.py:180] | No table on page Brandenburg - 2025
2024-05-03 22:08:25,108 - WARNING  19057 --- [competitions_main.py:180] | No table on page Bremen - 2025
2024-05-03 22:08:26,118 - WARNING  19057 --- [competitions_main.py:180] | No table on page Hamburg - 2025
2024-05-03 22:08:27,127 - WARNING  19057 --- [competitions_main.py:180] | No table on page Hessen - 2025
2024-05-03 22:08:28,140 - WARNING  19057 --- [competitions_main.py:180] | No table on page Mecklenburg-Vorpommern - 2025
2024-05-03 22:08:29,152 - WARNING  19057 --- [competitions_main.py:180] | No table on page Niedersachsen - 2025
2024-05-03 22:08:30,163 - WARNING  19057 --- [competitions_main.py:180] | No table on page Nordrhein-Westfalen - 2025
2024-05-03 22:08:31,173 - WARNING  19057 --- [competitions_main.py:180] | No table on page Rheinland-Pfalz - 2025
2024-05-03 22:08:32,183 - WARNING  19057 --- [competitions_main.py:180] | No table on page Saarland - 2025
2024-05-03 22:08:33,194 - WARNING  19057 --- [competitions_main.py:180] | No table on page Sachsen - 2025
2024-05-03 22:08:34,205 - WARNING  19057 --- [competitions_main.py:180] | No table on page Sachsen-Anhalt - 2025
2024-05-03 22:08:35,216 - WARNING  19057 --- [competitions_main.py:180] | No table on page Schleswig-Holstein - 2025
2024-05-03 22:08:36,226 - WARNING  19057 --- [competitions_main.py:180] | No table on page Thüringen - 2025
2024-05-05 10:53:13,040 - WARNING  21484 --- [competitions_main.py:193] | No table on page Bremen - 2024
2024-05-05 11:05:09,699 - WARNING  4880 --- [competitions_main.py:193] | No table on page Berlin - 2021
2024-05-05 11:05:13,827 - WARNING  4880 --- [competitions_main.py:193] | No table on page Bremen - 2021
2024-05-05 11:05:27,042 - WARNING  4880 --- [competitions_main.py:193] | No table on page Rheinland-Pfalz - 2021
2024-05-05 11:05:50,743 - WARNING  4880 --- [competitions_main.py:193] | No table on page Bremen - 2022
2024-05-05 11:06:03,380 - WARNING  4880 --- [competitions_main.py:193] | No table on page Rheinland-Pfalz - 2022
2024-05-05 11:06:22,335 - WARNING  4880 --- [competitions_main.py:193] | No table on page Berlin - 2023
2024-05-05 11:06:26,465 - WARNING  4880 --- [competitions_main.py:193] | No table on page Bremen - 2023
2024-05-05 11:07:02,802 - WARNING  4880 --- [competitions_main.py:193] | No table on page Bremen - 2024
2024-05-05 11:07:30,338 - WARNING  4880 --- [competitions_main.py:193] | No table on page Baden-W�rttemberg - 2025
2024-05-05 11:07:31,818 - WARNING  4880 --- [competitions_main.py:193] | No table on page Bayern - 2025
2024-05-05 11:07:33,089 - WARNING  4880 --- [competitions_main.py:193] | No table on page Berlin - 2025
2024-05-05 11:07:34,567 - WARNING  4880 --- [competitions_main.py:193] | No table on page Brandenburg - 2025
2024-05-05 11:07:35,842 - WARNING  4880 --- [competitions_main.py:193] | No table on page Bremen - 2025
2024-05-05 11:07:37,375 - WARNING  4880 --- [competitions_main.py:193] | No table on page Hamburg - 2025
2024-05-05 11:07:38,665 - WARNING  4880 --- [competitions_main.py:193] | No table on page Hessen - 2025
2024-05-05 11:07:40,134 - WARNING  4880 --- [competitions_main.py:193] | No table on page Mecklenburg-Vorpommern - 2025
2024-05-05 11:07:41,400 - WARNING  4880 --- [competitions_main.py:193] | No table on page Niedersachsen - 2025
2024-05-05 11:07:42,899 - WARNING  4880 --- [competitions_main.py:193] | No table on page Nordrhein-Westfalen - 2025
2024-05-05 11:07:44,149 - WARNING  4880 --- [competitions_main.py:193] | No table on page Rheinland-Pfalz - 2025
2024-05-05 11:07:45,631 - WARNING  4880 --- [competitions_main.py:193] | No table on page Saarland - 2025
2024-05-05 11:07:46,900 - WARNING  4880 --- [competitions_main.py:193] | No table on page Sachsen - 2025
2024-05-05 11:07:48,403 - WARNING  4880 --- [competitions_main.py:193] | No table on page Sachsen-Anhalt - 2025
2024-05-05 11:07:49,693 - WARNING  4880 --- [competitions_main.py:193] | No table on page Schleswig-Holstein - 2025
2024-05-05 11:07:51,200 - WARNING  4880 --- [competitions_main.py:193] | No table on page Th�ringen - 2025
2024-05-05 11:14:03,024 - WARNING  23736 --- [competitions_main.py:199] | No table on page Berlin - 2021
